Comment,Designator,Footprint,LCSC part number
22pF,"C1,C2",Capacitor_SMD:C_0805_2012Metric,C1804
0.1uF,"C3,C4,C5,C6,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21",Capacitor_SMD:C_0805_2012Metric,C28233
10uF,C7,Capacitor_SMD:CP_Elec_4x5.3,C72487
22uF,C8,Capacitor_SMD:CP_Elec_4x5.3,C72505
1uF,"C9,C10",Capacitor_SMD:C_0805_2012Metric,C28323
Diode,"D1,D2",Diode_SMD:D_MiniMELF,C9808
8.2k,"R1,R2",Resistor_SMD:R_0805_2012Metric,C17828
3.9k,"R10,R16",Resistor_SMD:R_0805_2012Metric,C17614
470,"R14,R20",Resistor_SMD:R_0805_2012Metric,C17710
51k,"R23,R24",Resistor_SMD:R_0805_2012Metric,C17737
22k,"R25,R26",Resistor_SMD:R_0805_2012Metric,C17560
180,"R21,R22,R27,R28,R29",Resistor_SMD:R_0805_2012Metric,C25270
2.7k,"R3,R4,R11,R17",Resistor_SMD:R_0805_2012Metric,C17530
120k,R30,Resistor_SMD:R_0805_2012Metric,C17436
39k,R31,Resistor_SMD:R_0805_2012Metric,C25826
6.8k,"R32,R41",Resistor_SMD:R_0805_2012Metric,C17772
12k,"R33,R42",Resistor_SMD:R_0805_2012Metric,C17444
27k,"R34,R43",Resistor_SMD:R_0805_2012Metric,C17593
18k,"R35,R44",Resistor_SMD:R_0805_2012Metric,C17506
56,"R36,R45",Resistor_SMD:R_0805_2012Metric,C17757
150,"R37,R38,R39,R40,R46,R47,R48,R49",Resistor_SMD:R_0805_2012Metric,C17471
1k,"R5,R6,R13,R19",Resistor_SMD:R_0805_2012Metric,C17513
1.8k,"R7,R8,R12,R18",Resistor_SMD:R_0805_2012Metric,C17398
5.6k,"R9,R15",Resistor_SMD:R_0805_2012Metric,C4382
NE5532DR,"U1,U2",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7426
LMV321IDBVR,U11,Package_TO_SOT_SMD:SOT-23-5,C7972
LM393DR2G,"U10,U12,U13,U14",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7955
AMS1117-5.0,U3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6187
TL072CDT,"U4,U9",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C6961
74LVC2G14W6-7,U5,Package_TO_SOT_SMD:SOT-23-6,C384558
74VHC74MTCX,U6,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C6153
"74HC08D,653","U7,U8",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C5593
